date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,final_scheduled_volume_mw,mcp_rs_per_mwh
2024-01-01,00:00 - 00:15,7598.4,19087.5,5785.71,5785.71,2850.38
2024-01-01,00:15 - 00:30,7581.4,19491.1,5885.49,5885.49,2733.12
2024-01-01,00:30 - 00:45,7610.7,19765.8,5845.1,5845.1,2840.08
2024-01-01,00:45 - 01:00,7591.4,20068.3,5839.1,5839.1,2830.47
2024-01-01,01:00 - 01:15,7522.9,20973.0,6041.1,6041.1,2489.74
2024-01-01,01:15 - 01:30,7495.7,21573.6,6015.0,6015.0,2489.53
2024-01-01,01:30 - 01:45,7599.1,22315.3,5943.5,5943.5,2489.21
2024-01-01,01:45 - 02:00,7555.3,22620.7,5898.7,5898.7,2489.01
2024-01-01,02:00 - 02:15,7560.0,22981.3,6009.9,6009.9,2380.77
2024-01-01,02:15 - 02:30,7547.0,23316.5,6014.4,6014.4,2339.84
2024-01-01,02:30 - 02:45,7534.6,23527.2,6002.1,6002.1,2339.65
2024-01-01,02:45 - 03:00,7553.9,23818.9,6021.6,6021.6,2339.53
2024-01-01,03:00 - 03:15,7522.8,23769.2,5993.6,5993.6,2350.84
2024-01-01,03:15 - 03:30,7507.0,23607.4,5936.4,5936.4,2449.6
2024-01-01,03:30 - 03:45,7520.9,23670.3,5950.4,5950.4,2449.6
2024-01-01,03:45 - 04:00,7509.4,23533.4,5939.3,5939.3,2449.57
2024-01-01,04:00 - 04:15,7517.3,22723.0,5945.4,5945.4,2449.87
2024-01-01,04:15 - 04:30,7435.4,21581.7,5863.6,5863.6,2449.99
2024-01-01,04:30 - 04:45,7236.8,20771.4,5841.4,5841.4,2440.89
2024-01-01,04:45 - 05:00,7379.2,20024.3,5983.1,5983.1,2449.18
2024-01-01,05:00 - 05:15,7881.6,18903.3,6177.0,6177.0,2950.17
2024-01-01,05:15 - 05:30,8235.9,18414.4,6320.2,6320.2,3000.4
2024-01-01,05:30 - 05:45,9187.3,17198.1,6844.6,6844.6,3087.13
2024-01-01,05:45 - 06:00,9849.7,16488.5,7419.3,7419.3,3150.42
2024-01-01,06:00 - 06:15,10419.8,13520.8,7408.8,7408.8,3541.79
2024-01-01,06:15 - 06:30,11089.6,13035.1,8014.1,8014.1,3600.16
2024-01-01,06:30 - 06:45,11899.2,12402.6,8520.2,8520.2,3609.22
2024-01-01,06:45 - 07:00,12535.6,12091.2,9174.38,9174.38,3750.68
2024-01-01,07:00 - 07:15,12698.6,10477.0,8681.11,8681.11,4000.65
2024-01-01,07:15 - 07:30,16204.9,10827.6,10697.6,10697.6,9500.47
2024-01-01,07:30 - 07:45,17530.6,9945.1,9815.1,9815.1,10000.0
2024-01-01,07:45 - 08:00,18346.5,8830.2,8700.2,8700.2,10000.0
2024-01-01,08:00 - 08:15,19468.0,8851.6,8725.6,8725.6,10000.0
2024-01-01,08:15 - 08:30,20303.5,8183.6,8057.6,8057.6,10000.0
2024-01-01,08:30 - 08:45,20550.2,7302.1,7176.09,7176.09,10000.0
2024-01-01,08:45 - 09:00,19875.0,7345.7,7219.69,7219.69,10000.0
2024-01-01,09:00 - 09:15,20939.9,7418.3,7292.3,7292.3,10000.0
2024-01-01,09:15 - 09:30,20704.4,7471.8,7345.8,7345.8,10000.0
2024-01-01,09:30 - 09:45,21208.9,8155.2,8029.2,8029.2,10000.0
2024-01-01,09:45 - 10:00,21122.1,8274.4,8148.4,8148.4,10000.0
2024-01-01,10:00 - 10:15,18786.4,8494.8,8368.8,8368.8,10000.0
2024-01-01,10:15 - 10:30,17911.4,8457.7,8331.69,8331.69,10000.0
2024-01-01,10:30 - 10:45,15459.4,8573.2,8432.6,8432.6,10000.0
2024-01-01,10:45 - 11:00,15074.0,8712.0,8571.4,8571.4,9172.8
2024-01-01,11:00 - 11:15,14810.6,9338.1,8916.8,8916.8,9500.14
2024-01-01,11:15 - 11:30,14711.1,9450.1,8968.8,8968.8,6499.68
2024-01-01,11:30 - 11:45,14239.4,9632.3,8820.3,8820.3,5270.03
2024-01-01,11:45 - 12:00,13731.5,9754.5,8479.46,8479.46,4545.84
2024-01-01,12:00 - 12:15,13265.5,9954.0,8066.0,8066.0,4244.21
2024-01-01,12:15 - 12:30,13508.2,10185.4,8244.59,8244.59,4498.2
