feature,importance
mcp_lag_1d,0.8315545351106962
day_of_week,0.03648141217029151
mcp_rolling_7d_mean,0.023376270360135686
day_of_year,0.017000976556332925
mumbai_apparent_temp,0.013094946011373119
block,0.012832122505717886
delhi_apparent_temp,0.012406901146542058
mcp_rolling_7d_std,0.010130586791147339
mcp_rolling_30d_mean,0.009679239291214708
mcp_rolling_30d_std,0.009281584240283337
mcp_lag_7d,0.008539636605747962
year,0.0034270065272122016
is_holiday,0.003128412945261189
hour_bucket,0.0030512868906347654
hour,0.002806139357088578
month,0.001508267398063582
season,0.0010531628649178009
is_weekend,0.0006475132273390702
