feature,importance
mcp_lag_1d,0.8430096026948636
day_of_week,0.03638041797734688
mcp_rolling_7d_mean,0.02396891421970805
day_of_year,0.022434969582925797
block,0.01401321518685953
mcp_rolling_7d_std,0.011678083650550525
mcp_rolling_30d_mean,0.011067287013512849
mcp_rolling_30d_std,0.01054854708306497
mcp_lag_7d,0.009994082111201822
year,0.0035568234730306634
hour_bucket,0.0035004788123027637
hour,0.0031112525617296278
is_holiday,0.002387927765108901
month,0.0020482037092203914
season,0.0015664134318970984
is_weekend,0.0007337807266765969
