Model,Method,PICP (%),Target (%),Gap (%),PINAW,Winkler,ACI,Mean Width,RMSE
XGBoost,Split Conformal,88.96,90.0,-1.04,84.9732,5808.16,0.9896,3602.24,1197.31
XGBoost,Adaptive Conformal,92.49,90.0,2.49,100.9438,5867.82,0.9751,4279.28,1197.31
XGBoost,Cqr,84.74,90.0,-5.26,57.923,4424.72,0.9474,2455.51,1197.31
XGBoost,Enbpi,90.61,90.0,0.61,76.0556,6366.1,0.9939,3224.2,1197.31
XGBoost,Spci,88.95,90.0,-1.05,84.9675,5808.19,0.9895,3602.0,1197.31
LightGBM,Split Conformal,90.37,90.0,0.37,85.4202,5675.26,0.9963,3621.19,1174.11
LightGBM,Adaptive Conformal,93.34,90.0,3.34,101.7867,5814.4,0.9666,4315.02,1174.11
LightGBM,Cqr,84.74,90.0,-5.26,57.923,4424.72,0.9474,2455.51,1174.11
LightGBM,Enbpi,90.61,90.0,0.61,76.0556,6366.1,0.9939,3224.2,1174.11
LightGBM,Spci,90.37,90.0,0.37,85.4104,5675.25,0.9963,3620.78,1174.11
Ridge,Split Conformal,88.97,90.0,-1.03,66.8375,6375.18,0.9897,2833.42,1215.56
Ridge,Adaptive Conformal,91.95,90.0,1.95,88.4359,6438.48,0.9805,3749.04,1215.56
Ridge,Cqr,84.74,90.0,-5.26,57.923,4424.72,0.9474,2455.51,1215.56
Ridge,Enbpi,90.61,90.0,0.61,76.0556,6366.1,0.9939,3224.2,1215.56
Ridge,Spci,88.97,90.0,-1.03,66.8223,6375.25,0.9897,2832.78,1215.56
