Model,Method,Normal PICP (%),Normal Width,Spike PICP (%),Spike Width,Normal N,Spike N
XGBoost,Split Conformal,90.98,3602.24,78.34,3602.24,48219,9189
XGBoost,Adaptive Conformal,94.25,4279.28,83.23,4279.28,48219,9189
XGBoost,Cqr,84.62,2176.59,85.35,3919.13,48219,9189
XGBoost,Enbpi,92.15,3224.2,82.5,3224.2,48219,9189
XGBoost,Spci,90.97,3602.0,78.34,3602.0,48219,9189
LightGBM,Split Conformal,92.15,3621.19,81.05,3621.19,48219,9189
LightGBM,Adaptive Conformal,94.94,4315.02,84.89,4315.02,48219,9189
LightGBM,Cqr,84.62,2176.59,85.35,3919.13,48219,9189
LightGBM,Enbpi,92.15,3224.2,82.5,3224.2,48219,9189
LightGBM,Spci,92.14,3620.78,81.05,3620.78,48219,9189
Ridge,Split Conformal,90.42,2833.42,81.37,2833.42,48219,9189
Ridge,Adaptive Conformal,93.62,3749.04,83.16,3749.04,48219,9189
Ridge,Cqr,84.62,2176.59,85.35,3919.13,48219,9189
Ridge,Enbpi,92.15,3224.2,82.5,3224.2,48219,9189
Ridge,Spci,90.42,2832.78,81.37,2832.78,48219,9189
