date,interval_arbitrage,confidence_weighted,unhedged,hedged
2025-01-01,9902539.626381615,0.0,-13924095.572456585,-13924095.572456587
2025-01-01,10477796.43008524,1296147.0,-12482449.023043685,-12482449.023043683
2025-01-01,11332766.093011912,-894763.0,-15361621.079457957,-15361621.079457957
2025-01-01,5434410.676775354,5115264.0,-7933569.95325773,-7933569.95325773
2025-01-01,5071075.201977931,4315297.0,-6965310.259700291,-6965310.259700292
2025-01-01,2567198.3246450042,14430254.0,-5760082.363385135,-5760082.363385135
2025-01-01,1148810.2067429025,1845263.0,-5165479.227242958,-5165479.227242958
2025-01-01,2185715.0469371006,1497654.0000000002,-5228144.471081454,-5228144.471081454
2025-01-01,3236566.288745914,2335829.0,-5595812.448880078,-5595812.448880076
2025-01-01,1284524.6936750938,1518022.0,-3366788.618001382,-3366788.618001382
2025-01-01,1521622.9419427593,1879828.0,-3535270.4264699807,-3535270.4264699807
2025-01-01,4454333.465387264,8299579.0,-7097783.109141264,-7097783.109141266
2025-01-01,5213515.237789503,10934015.0,-7201398.688523356,-7201398.688523356
2025-01-01,1538177.1281689738,6421546.0,-5498315.140327441,-5498315.140327441
2025-01-01,2107672.621883696,1952304.0000000005,-4298107.226214538,-4298107.226214538
2025-01-01,250095.33616653353,2014334.0,-2624251.362033224,-2624251.362033224
2025-01-01,3125929.7439095913,-668129.0,-4871695.315481031,-4871695.315481031
2025-01-01,2521917.573819389,810826.0000000002,-4774584.037539538,-4774584.037539538
2025-01-01,4247428.396825443,10118900.0,-7553740.960466994,-7553740.960466994
2025-01-01,7982006.9209596515,5784829.0,-10907338.706318242,-10907338.70631824
2025-01-01,2455725.1837813277,1524439.0000000002,-5388700.284441078,-5388700.284441078
2025-01-01,1452817.016921906,3538318.0000000005,-3572534.1868626378,-3572534.1868626378
2025-01-01,1791233.779334498,596242.9999999998,-3807786.7045102017,-3807786.7045102017
2025-01-01,1669424.0581977856,3945076.0000000005,-3774208.2482036604,-3774208.248203661
2025-01-01,1220535.1051518072,2316707.9999999995,-4064067.9101483137,-4064067.9101483137
2025-01-01,4396782.422985364,10955752.0,-9218930.563705014,-9218930.563705014
2025-01-01,2911115.7788273706,15273114.0,-5562270.238549678,-5562270.238549678
2025-01-01,584669.0644164453,1552140.0000000005,-4672246.239863078,-4672246.239863078
2025-01-01,2073571.2892764702,647011.9999999993,-5220027.848375804,-5220027.848375803
2025-01-01,2805528.2574057956,3118453.0,-4950295.073583805,-4950295.073583804
2025-01-01,1233412.3256683892,2375235.9999999995,-3993606.836807396,-3993606.836807396
2025-01-01,2070649.4698096192,-127325.00000000006,-4486348.73037652,-4486348.73037652
2025-01-01,197255.1628682072,13651977.0,-2124203.669823321,-2124203.6698233206
2025-01-01,4757441.031864954,11061973.0,-7356213.506709114,-7356213.506709114
2025-01-01,636348.7202061804,2028346.9999999998,-3339097.4021000536,-3339097.4021000536
2025-01-01,0.0,1308714.9999999998,-2258870.853356937,-2258870.853356937
2025-01-01,1619918.6975493357,477415.0000000001,-4269747.295031922,-4269747.295031922
2025-01-01,2675741.244139439,-448658.0000000001,-5942584.89583637,-5942584.89583637
2025-01-01,4552191.958372675,-2307402.0,-8614958.534349365,-8614958.534349365
2025-01-01,2019994.1236945179,4513936.999999998,-5205732.044011977,-5205732.044011977
2025-01-01,3368279.668283985,10777809.0,-5241193.006830493,-5241193.006830494
2025-01-01,2077963.5397172335,974257.0000000002,-4068951.0408152207,-4068951.0408152207
2025-01-01,2225687.2275285795,3166317.0,-4158127.756950764,-4158127.756950764
2025-01-01,2305157.0629187673,1281960.0,-3987509.4855634486,-3987509.4855634486
2025-01-01,2098575.3369011288,1623093.9999999998,-4332246.590498278,-4332246.590498277
2025-01-01,3904615.3512153216,1289668.0000000005,-7491934.653469289,-7491934.653469289
2025-01-01,4654899.972270479,5850233.000000001,-7592659.937341772,-7592659.937341772
2025-01-01,1156480.7584362947,11832662.0,-5097912.0971450005,-5097912.0971450005
2025-01-01,2434725.9500861466,-56078.99999999997,-5775255.915955963,-5775255.915955964
2025-01-01,3318988.6796591585,595584.0000000001,-7512464.784774996,-7512464.784774996
2025-01-01,450988.40129739733,1851613.0,-3483456.7222556868,-3483456.722255687
2025-01-01,2485033.499364785,1643762.9999999998,-5487265.538564773,-5487265.538564774
2025-01-01,2220805.8895769557,728923.0000000002,-5942707.961355787,-5942707.961355787
2025-01-01,324033.9876392076,8507992.0,-2993323.9782063644,-2993323.9782063644
2025-01-01,4514145.5518631665,5378048.0,-7769737.55751041,-7769737.55751041
2025-01-01,2321432.2789991135,714199.0,-7504422.382195726,-7504422.382195726
2025-01-01,2347221.6575428443,2141513.9999999995,-7493717.744984252,-7493717.744984252
2025-01-01,3791836.703624258,1714188.0,-8790928.361244818,-8790928.361244818
2025-01-01,5296571.695760893,-2284056.0,-11045142.856316905,-11045142.856316905
2025-01-01,3987357.853339404,4571951.0,-9188526.6816187,-9188526.6816187
2025-01-01,1170994.6377241998,5020492.0,-4291746.964359351,-4291746.964359351
2025-01-01,4233783.19341203,12545219.0,-7556312.694191812,-7556312.694191812
