nominal_coverage,PICP,PINAW,Winkler,ACI,mean_width,median_width,std_width,P50_RMSE,P50_MAE,coverage_gap,n_test,hour,n_samples,mean_price,std_price
90.0,71.07,71.2697,16381.81,0.8107,3621.19,3621.19,0.0,2383.77,1657.47,-18.93,2392,0,2392,5080.97,2899.16
90.0,73.83,78.5729,16278.69,0.8383,3621.19,3621.19,0.0,2399.12,1618.87,-16.17,2392,1,2392,4608.7,2686.54
90.0,78.43,85.7671,14644.29,0.8843,3621.19,3621.19,0.0,2255.04,1478.98,-11.57,2392,2,2392,4222.12,2441.08
90.0,80.64,91.6559,12601.95,0.9064,3621.19,3621.19,0.0,2068.76,1330.52,-9.36,2392,3,2392,3950.86,2198.64
90.0,82.02,92.0898,12099.47,0.9202,3621.19,3621.19,0.0,2025.44,1305.52,-7.98,2392,4,2392,3932.24,2106.28
90.0,77.93,85.551,13122.88,0.8793,3621.19,3621.19,0.0,2120.65,1395.9,-12.07,2392,5,2392,4232.79,2066.87
90.0,72.99,73.6145,12154.52,0.8299,3621.19,3621.19,0.0,2039.54,1458.04,-17.01,2392,6,2392,4919.13,2129.56
90.0,77.05,74.6324,10725.67,0.8705,3621.19,3621.19,0.0,1859.1,1255.72,-12.95,2392,7,2392,4852.04,2732.47
90.0,89.05,104.8286,6446.84,0.9905,3621.19,3621.19,0.0,1293.92,855.16,-0.95,2392,8,2392,3454.39,2460.7
90.0,92.52,136.0963,5085.15,0.9748,3621.19,3621.19,0.0,1100.92,783.5,2.52,2392,9,2392,2660.76,1884.89
90.0,96.45,175.9601,3826.14,0.9355,3621.19,3621.19,0.0,837.4,655.91,6.45,2392,10,2392,2057.96,1109.93
90.0,97.37,190.2996,3742.48,0.9263,3621.19,3621.19,0.0,796.17,617.65,7.37,2392,11,2392,1902.89,914.55
90.0,97.45,201.8103,3727.32,0.9255,3621.19,3621.19,0.0,798.16,616.59,7.45,2392,12,2392,1794.35,833.34
90.0,96.66,218.4652,3734.18,0.9334,3621.19,3621.19,0.0,817.68,627.75,6.66,2392,13,2392,1657.56,744.83
90.0,97.37,181.1522,3753.63,0.9263,3621.19,3621.19,0.0,711.46,534.87,7.37,2392,14,2392,1998.98,732.86
90.0,97.83,147.112,3755.38,0.9217,3621.19,3621.19,0.0,662.15,495.23,7.83,2392,15,2392,2461.52,715.59
90.0,95.94,121.0618,4414.78,0.9406,3621.19,3621.19,0.0,859.8,583.35,5.94,2392,16,2392,2991.19,939.19
90.0,85.28,85.1598,8275.56,0.9528,3621.19,3621.19,0.0,1545.79,976.77,-4.72,2392,17,2392,4252.23,2196.62
90.0,70.32,55.8201,13488.61,0.8032,3621.19,3621.19,0.0,2130.19,1500.4,-19.68,2392,18,2392,6487.25,2872.2
90.0,62.54,46.9889,16196.39,0.7254,3621.19,3621.19,0.0,2353.01,1750.0,-27.46,2392,19,2392,7706.48,2639.14
90.0,71.57,53.1156,12758.3,0.8157,3621.19,3621.19,0.0,2040.12,1453.12,-18.43,2392,20,2392,6817.57,2839.9
90.0,74.21,55.447,11454.04,0.8421,3621.19,3621.19,0.0,1901.32,1290.97,-15.79,2392,21,2392,6530.91,2981.74
90.0,75.84,55.98,11935.47,0.8584,3621.19,3621.19,0.0,1942.11,1281.9,-14.16,2392,22,2392,6468.72,3201.16
90.0,76.63,59.9139,12434.6,0.8663,3621.19,3621.19,0.0,1983.94,1299.89,-13.37,2392,23,2392,6043.99,3261.66
