nominal_coverage,PICP,PINAW,Winkler,ACI,mean_width,median_width,std_width,P50_RMSE,P50_MAE,coverage_gap,n_test,month,n_samples,mean_price
90.0,91.16,87.2221,6828.8,0.9884,3621.19,3621.19,0.0,1218.51,613.18,1.16,5952,1,5952,4151.69
90.0,92.26,90.952,6129.64,0.9774,3621.19,3621.19,0.0,1119.49,617.02,2.26,5376,2,5376,3981.43
90.0,79.79,83.5665,11078.07,0.8979,3621.19,3621.19,0.0,1849.72,1181.35,-10.21,5952,3,5952,4333.31
90.0,74.24,69.2385,15715.85,0.8424,3621.19,3621.19,0.0,2309.14,1512.41,-15.76,5760,4,5760,5230.02
90.0,82.61,80.3404,9789.3,0.9261,3621.19,3621.19,0.0,1748.7,1168.95,-7.39,5952,5,5952,4507.31
90.0,77.81,79.8287,12918.1,0.8781,3621.19,3621.19,0.0,2035.4,1294.09,-12.19,5760,6,5760,4536.2
90.0,81.57,78.8507,11648.26,0.9157,3621.19,3621.19,0.0,1908.21,1174.31,-8.43,5952,7,5952,4592.47
90.0,78.59,87.2508,10310.4,0.8859,3621.19,3621.19,0.0,1917.12,1387.78,-11.41,4992,8,4992,4150.32
90.0,81.04,101.1622,8041.0,0.9104,3621.19,3621.19,0.0,1640.13,1232.91,-8.96,2880,9,2880,3579.59
90.0,81.72,135.6753,6416.68,0.9172,3621.19,3621.19,0.0,1494.9,1210.45,-8.28,2976,10,2976,2669.01
90.0,90.24,117.9855,5259.69,0.9976,3621.19,3621.19,0.0,1322.62,1114.06,0.24,2880,11,2880,3069.18
90.0,89.75,92.3873,5542.07,0.9975,3621.19,3621.19,0.0,1226.72,928.52,-0.25,2976,12,2976,3919.58
