y_pred,lower,upper
2711.4883,344.1158178465994,5078.860744653401
2734.558,367.1856420653494,5101.930568872151
2650.7795,283.4070776122244,5018.152004419026
2641.6196,274.2471655028494,5008.992092309651
2567.0518,199.67929440909938,4934.424221215901
2521.3757,154.00326901847438,4888.748195825276
2449.9734,82.60092526847438,4817.345852075276
2341.88,-25.492580590900616,4709.252346215901
2202.9321,-164.44033449715062,4570.304592309651
2203.2537,-164.11880129402562,4570.626125512776
2199.3596,-168.01284426277562,4566.732082544026
2199.3596,-168.01284426277562,4566.732082544026
2151.5525,-215.81997316902562,4518.924953637776
2129.6335,-237.73891848152562,4497.006008325276
2151.5525,-215.81997316902562,4518.924953637776
2132.3381,-235.03432863777562,4499.710598169026
2200.571,-166.80141848152562,4567.943508325276
2136.201,-231.17153566902562,4503.573391137776
2142.0574,-225.31509035652562,4509.429836450276
2225.6426,-141.72988527840062,4593.015041528401
2470.1274,102.75497800284938,4837.499904809651
2661.0898,293.7173803465994,5028.462307153401
2897.365,529.9925268309744,5264.737453637776
3077.5422,710.1697729247244,5444.914699731526
3685.3208,1317.9483373778494,6052.693264184651
4021.9949,1654.6224096434744,6389.367336450276
4310.2886,1942.9161108153494,6677.661037622151
4472.289,2104.9165990965994,6839.661525903401
8743.695,6376.322849096599,11111.0677759034
9885.353,7517.980075659099,12252.7250024659
10854.043,8486.6705053466,13221.4154321534
10977.421,8610.0484350341,13344.7933618409
10556.055,8188.682224096599,12923.4271509034
10996.636,8629.2632787841,13364.0082055909
10850.513,8483.1402319091,13217.8851587159
10741.033,8373.6607397216,13108.4056665284
11201.231,8833.8589819091,13568.6039087159
11060.684,8693.3111303466,13428.0560571534
10747.922,8380.5494115966,13115.2943384034
10423.3545,8055.982028784099,12790.7269555909
8301.671,5934.298435034099,10669.0433618409
7005.0537,4637.681247534099,9372.4261743409
5456.4976,3089.1250951903494,7823.870021997151
4872.4434,2505.0708959715994,7239.815822778401
4052.2944,1684.9219701903494,6419.666896997151
3770.0635,1402.6910131590994,6137.435939965901
3632.2993,1264.9268530028494,5999.671779809651
3538.4385,1171.0660131590994,5905.810939965901
3379.7087,1012.3362768309744,5747.081203637776
3399.1838,1031.8113744872244,5766.556301294026
3375.301,1007.9285619872244,5742.673488794026
3322.306,954.9334447997244,5689.678371606526
2808.179,440.8064916747244,5175.551418481526
2864.8384,497.4659155028494,5232.210842309651
2910.8333,543.4607885497244,5278.205715356526
2953.1487,585.7762182372244,5320.521145044026
3010.8647,643.4922826903494,5378.237209497151
3028.4998,661.1272924559744,5395.872219262776
3216.8262,849.4537084715994,5584.198635278401
3270.0752,902.7027319090994,5637.447658715901
3371.0256,1003.6531713622244,5738.398098169026
3402.8894,1035.5169408934744,5770.261867700276
3598.4395,1231.0669897215994,5965.811916528401
3822.162,1454.7896459715994,6189.534572778401
4230.3335,1862.9610326903494,6597.705959497151
4384.32,2016.9473608153494,6751.692287622151
4651.1255,2283.7530248778494,7018.497951684651
5462.64,3095.2676733153494,7830.012600122151
10125.229,7757.856052221599,12492.6009790284
11120.07,8752.6978490966,13487.4427759034
11607.309,9239.9361303466,13974.6810571534
11792.415,9425.0425756591,14159.7875024659
10984.385,8617.0123022216,13351.7572290284
10578.978,8211.6050756591,12946.3500024659
10607.402,8240.0298803466,12974.7748071534
10791.462,8424.0894506591,13158.8343774659
10551.755,8184.382419409099,12919.1273462159
10387.73,8020.358005346599,12755.1029321534
9189.597,6822.224216284099,11556.9691430909
9577.737,7210.364841284099,11945.1097680909
4837.1704,2469.7979467528494,7204.542873559651
4666.155,2298.7823217528494,7033.527248559651
4568.7285,2201.3560522215994,6936.100979028401
4364.591,1997.2183569090994,6731.963283715901
3604.502,1237.1294897215994,5971.874416528401
3591.1282,1223.7557104247244,5958.500637231526
3598.5378,1231.1653783934744,5965.910305200276
3584.2346,1216.8621557372244,5951.607082544026
3201.7288,834.3562963622244,5569.101223169026
3186.7466,819.3741186278494,5554.119045434651
3183.4866,816.1141088622244,5550.859035669026
3178.354,810.9815405028494,5545.726467309651
2960.8638,593.4913061278494,5328.236232934651
2919.2178,551.8453100340994,5286.590236840901
2799.3574,431.9849584715994,5166.729885278401
2803.7786,436.4061010497244,5171.151027856526
2698.0144,330.6419408934744,5065.386867700276
2586.2822,218.90976315909938,4953.654689965901
2589.1826,221.81015378409938,4956.555080590901
2541.5933,174.22079831534938,4908.965725122151
2477.9744,110.60190183097438,4845.346828637776
2463.243,95.87045651847438,4830.615383325276
2404.344,36.971530737224384,4771.716457544026
2334.5872,-32.785305200275616,4701.959621606526
2285.5288,-81.84365480965062,4652.901271997151
2283.7014,-83.67104738777562,4651.073879419026
2290.7678,-76.60464113777562,4658.140285669026
2280.324,-87.04848879402562,4647.696438012776
2252.8813,-114.49111574715062,4620.253811059651
2252.8813,-114.49111574715062,4620.253811059651
2253.7007,-113.67177980965062,4621.073146997151
2250.5327,-116.83974855965062,4617.905178247151
2282.6448,-84.72768801277562,4650.017238794026
2288.5007,-78.87173098152562,4655.873195825276
2284.099,-83.27334230965062,4651.471584497151
2342.9482,-24.424221215900616,4710.320705590901
2637.0344,269.6619604247244,5004.406887231526
2810.9143,443.5418432372244,5178.286770044026
3146.706,779.3335912840994,5514.078518090901
3258.5442,891.1717260497244,5625.916652856526
3848.7395,1481.3670385497244,6216.111965356526
4104.244,1736.8716772215994,6471.616604028401
4607.136,2239.7637670653494,6974.508693872151
5418.356,3050.9834936278494,7785.728420434651
9691.063,7323.691013159099,12058.4359399659
11202.911,8835.5386694091,13570.2835962159
11901.117,9533.7447240966,14268.4896509034
11741.979,9374.6060522216,14109.3509790284
11611.718,9244.3453100341,13979.0902368409
11726.1455,9358.7730444091,14093.5179712159
11602.741,9235.3687475341,13970.1136743409
11474.9,9107.5279272216,13842.2728540284
11247.64,8880.2671850341,13615.0121118409
11190.445,8823.0728490966,13557.8177759034
11102.067,8734.6949194091,13469.4398462159
11097.691,8730.3189428466,13465.0638696534
5997.586,3630.2134740965994,8364.9584009034
5148.387,2781.0147436278494,7515.759670434651
4436.7407,2069.3682592528494,6804.113186059651
4175.138,1807.7657201903494,6542.510646997151
3877.2466,1509.8741186278494,6244.619045434651
3686.624,1319.2515600340994,6053.996486840901
3678.7944,1311.4219701903494,6046.166896997151
3551.636,1184.2635229247244,5919.008449731526
3337.315,969.9424780028494,5704.687404809651
3322.5054,955.1329076903494,5689.877834497151
3288.767,921.3946264403494,5656.139553247151
3276.265,908.8924291747244,5643.637355981526
2768.7917,401.4192846434744,5136.164211450276
2721.0962,353.7237280028494,5088.468654809651
2820.9272,453.5547826903494,5188.299709497151
2837.736,470.3636205809744,5205.108547387776
2926.6057,559.2332494872244,5293.978176294026
2941.927,574.5545385497244,5309.299465356526
