y_pred,lower,upper
2870.2246,2206.834513737605,3533.61446087177
2878.5654,2217.814982487605,3539.315876887395
2830.2136,2175.58085162823,3484.84639446552
2828.496,2174.22977740948,3482.76241009052
2743.921,2090.064005925105,3397.777790949895
2702.3691,2036.166056706355,3368.57198040302
2635.8599,1960.82938678448,3310.89033977802
2557.4995,1887.74100787823,3227.258259699895
2539.4683,1878.9432783860425,3199.99336712177
2539.62,1879.2467451829175,3199.99336712177
2528.6807,1874.296427800105,3183.06465618427
2529.267,1875.46952350323,3183.06465618427
2510.9292,1870.0096846360425,3151.848591731145
2492.4712,1867.6932783860425,3117.248982356145
2497.542,1866.58475787823,3128.499470637395
2491.696,1864.702189518855,3118.689900324895
2527.5977,1872.130900456355,3183.06465618427
2491.075,1863.4598799485425,3118.689900324895
2495.1924,1870.605021550105,3119.779744074895
2519.6226,1875.4432783860425,3163.801716731145
2726.254,2043.14286334698,3409.36494915302
2900.8186,2226.76981647198,3574.86739055927
3093.9468,2422.21708209698,3765.676716731145
3310.0034,2655.083048893855,3964.92354290302
3811.6548,3066.06669147198,4557.2431229811455
4113.5723,3238.66434772198,4988.4804276686455
4433.585,3457.331095768855,5409.8388261061455
4626.597,3491.89628131573,5761.2982987623955
7588.282,4810.4722090501045,10366.092732356145
8490.713,6510.2739668626045,10471.151326106145
8918.974,6572.4521895188545,11265.495076106145
9024.541,6697.7007246751045,11351.380818293645
9040.34,6735.9663496751045,11344.713826106145
9070.081,6791.7407637376045,11348.421833918645
9243.3125,7116.6142988938545,11370.010701106145
9320.256,7277.5298262376045,11362.981404231145
9131.097,6908.1074629563545,11354.085896418645
9100.177,6852.8208418626045,11347.533162043645
8922.553,6580.0864668626045,11265.019490168645
8733.123,6492.7593184251045,10973.486287043645
7546.014,4840.3701582688545,10251.658162043645
6534.329,4356.0571699876045,8712.600544856145
5557.123,3901.886271550105,7212.3593339186455
4939.815,3693.15067584698,6186.4789628248955
4154.7227,3268.55399615948,5040.8910721998955
3877.0312,3087.516154362605,4666.5463456373955
3744.6184,3005.254923893855,4483.9818925123955
3719.1619,2978.470744206355,4459.8529862623955
3498.5605,2807.620646550105,4189.5002030592705
3513.5498,2798.138224675105,4228.9613846998955
3459.816,2763.483927800105,4156.1481522780205
3424.7979,2751.21708209698,4098.3783768873955
2918.449,2244.14042194073,3592.75752727802
2912.24,2240.903849675105,3583.576130793645
2963.7612,2306.14188678448,3621.380330012395
3000.7246,2362.19022662823,3639.259236262395
3127.2087,2472.17264850323,3782.24483196552
3140.8433,2484.740275456355,3796.946247981145
3336.3958,2667.352580143855,4005.438923762395
3375.4185,2713.99882037823,4036.83809368427
3448.9639,2759.45682819073,4138.4709061842705
3535.1475,2817.94510944073,4252.3495682936455
3679.4438,2953.87284381573,4405.0146073561455
3835.2837,3056.13846881573,4614.4291581373955
4274.073,3371.876017643855,5176.2709550123955
4417.6855,3408.413127018855,5426.9579667311455
4647.5137,3489.228068425105,5805.7987870436455
5703.8003,3779.871623112605,7627.7289628248955
8438.51,6402.3159590501045,10474.704060481145
8858.086,6465.2934981126045,11250.877888606145
9237.787,7113.3711348313545,11362.202107356145
9255.77,7142.5752363938545,11368.963826106145
9328.069,7384.5205488938545,11271.618122981145
9450.731,7570.7290449876045,11330.733357356145
9448.9375,7567.1406660813545,11330.733357356145
9474.492,7619.5688887376045,11329.415974543645
8775.01,6536.1357832688545,11013.884724543645
8560.425,6590.2861738938545,10530.563435481145
8463.082,6449.9258223313545,10476.239216731145
8157.6147,5152.3603926438545,11162.869099543645
4836.119,3651.921916081355,6020.3158768873955
4631.1816,3553.685587956355,5708.6781815748955
4496.351,3513.56913287823,5479.1332596998955
4320.1353,3453.52762897198,5186.7426346998955
3670.066,2978.34501178448,4361.7870682936455
3649.618,2980.773966862605,4318.4618729811455
3656.242,2969.605021550105,4342.8788651686455
3647.0542,2970.419474675105,4323.6889237623955
3355.144,2695.73466022198,4014.55342571552
3321.7363,2654.38456256573,3989.08809368427
3307.771,2635.696330143855,3979.84541790302
3303.2568,2636.673869206355,3969.83955852802
3054.6455,2368.963419987605,3740.32783977802
3016.9055,2347.34403522198,3686.46699993427
2900.2363,2200.216349675105,3600.25606243427
2928.6763,2253.19755084698,3604.15498821552
2726.2012,2045.056193425105,3407.346150324895
2671.849,1988.39286334698,3355.30537884052
2666.1475,1984.05106647198,3348.244099543645
2616.4434,1943.935587956355,3288.95088665302
2581.197,1910.08280475323,3252.31123821552
2567.7957,1898.37870319073,3237.21260540302
2540.1216,1881.0946455735425,3199.14864055927
2512.168,1866.547404362605,3157.78877727802
2499.7075,1864.887736393855,3134.52754680927
2499.03,1863.5326338547925,3134.52754680927
2492.3955,1855.046916081355,3129.74434368427
2483.4023,1852.89774615948,3113.906697199895
2473.422,1851.427775456355,3095.416462824895
2471.9417,1848.4669600266675,3095.416462824895
2472.527,1849.637736393855,3095.416462824895
2473.1145,1849.3727217454175,3096.856404231145
2498.2388,1861.9498701829175,3134.52754680927
2498.1418,1861.7562666672925,3134.52754680927
2492.2039,1865.7179365891675,3118.689900324895
2514.9487,1870.9205733079175,3158.97676555927
2744.955,2066.71317584698,3423.197224543645
2923.5894,2262.871134831355,3584.30733196552
3247.9104,2592.293498112605,3903.527302668645
3344.5874,2691.98563678448,3997.189412043645
3835.893,3096.276408268855,4575.5097245436455
4125.536,3243.497111393855,5007.5756425123955
4541.9053,3473.810587956355,5609.9994706373955
5295.931,3787.54813678448,6804.3139237623955
